country name,postcode,
UK,CM22,"""CM22"","
UK,CM23,"""CM23"","
UK,CM24,"""CM24"","
UK,CM3,"""CM3"","
UK,CM4,"""CM4"","
UK,CM5,"""CM5"","
UK,CM6,"""CM6"","
UK,CM7,"""CM7"","
UK,CM77,"""CM77"","
UK,CM8,"""CM8"","
UK,CM9,"""CM9"","
UK,CM92,"""CM92"","
UK,CM98,"""CM98"","
UK,CM99,"""CM99"","
UK,GU1,"""GU1"","
UK,GU10,"""GU10"","
UK,GU11,"""GU11"","
UK,GU12,"""GU12"","
UK,GU14,"""GU14"","
UK,GU15,"""GU15"","
UK,GU16,"""GU16"","
UK,GU17,"""GU17"","
UK,GU18,"""GU18"","
UK,GU19,"""GU19"","
UK,GU2,"""GU2"","
UK,GU20,"""GU20"","
UK,GU21,"""GU21"","
UK,GU22,"""GU22"","
UK,GU23,"""GU23"","
UK,GU24,"""GU24"","
UK,GU25,"""GU25"","
UK,GU26,"""GU26"","
UK,GU27,"""GU27"","
UK,GU28,"""GU28"","
UK,GU29,"""GU29"","
UK,GU3,"""GU3"","
UK,GU30,"""GU30"","
UK,GU31,"""GU31"","
UK,GU32,"""GU32"","
UK,GU33,"""GU33"","
UK,GU34,"""GU34"","
UK,GU35,"""GU35"","
UK,GU4,"""GU4"","
UK,GU46,"""GU46"","
UK,GU47,"""GU47"","
UK,GU5,"""GU5"","
UK,GU51,"""GU51"","
UK,GU52,"""GU52"","
UK,GU6,"""GU6"","
UK,GU7,"""GU7"","
UK,GU8,"""GU8"","
UK,GU9,"""GU9"","
UK,GU95,"""GU95"","
UK,HP1,"""HP1"","
UK,HP10,"""HP10"","
UK,HP11,"""HP11"","
UK,HP12,"""HP12"","
UK,HP13,"""HP13"","
UK,HP14,"""HP14"","
UK,HP15,"""HP15"","
UK,HP16,"""HP16"","
UK,HP17,"""HP17"","
UK,HP18,"""HP18"","
UK,HP19,"""HP19"","
UK,HP2,"""HP2"","
UK,HP20,"""HP20"","
UK,HP21,"""HP21"","
UK,HP22,"""HP22"","
UK,HP23,"""HP23"","
UK,HP27,"""HP27"","
UK,HP3,"""HP3"","
UK,HP4,"""HP4"","
UK,HP5,"""HP5"","
UK,HP6,"""HP6"","
UK,HP7,"""HP7"","
UK,HP8,"""HP8"","
UK,HP9,"""HP9"","
UK,LU1,"""LU1"","
UK,LU2,"""LU2"","
UK,LU3,"""LU3"","
UK,LU4,"""LU4"","
UK,LU5,"""LU5"","
UK,LU6,"""LU6"","
UK,LU7,"""LU7"","
UK,LU95,"""LU95"","
UK,ME1,"""ME1"","
UK,ME10,"""ME10"","
UK,ME11,"""ME11"","
UK,ME12,"""ME12"","
UK,ME13,"""ME13"","
UK,ME14,"""ME14"","
UK,ME15,"""ME15"","
UK,ME16,"""ME16"","
UK,ME17,"""ME17"","
UK,ME18,"""ME18"","
UK,ME19,"""ME19"","
UK,ME2,"""ME2"","
UK,ME20,"""ME20"","
UK,ME3,"""ME3"","
UK,ME4,"""ME4"","
UK,ME5,"""ME5"","
UK,ME6,"""ME6"","
UK,ME7,"""ME7"","
UK,ME8,"""ME8"","
UK,ME9,"""ME9"","
UK,ME99,"""ME99"","
UK,KT1,"""KT1"","
UK,KT10,"""KT10"","
UK,KT11,"""KT11"","
UK,KT12,"""KT12"","
UK,KT13,"""KT13"","
UK,KT14,"""KT14"","
UK,KT15,"""KT15"","
UK,KT16,"""KT16"","
UK,KT17,"""KT17"","
UK,KT18,"""KT18"","
UK,KT19,"""KT19"","
UK,KT2,"""KT2"","
UK,KT20,"""KT20"","
UK,KT21,"""KT21"","
UK,KT22,"""KT22"","
UK,KT23,"""KT23"","
UK,KT24,"""KT24"","
UK,KT3,"""KT3"","
UK,KT4,"""KT4"","
UK,KT5,"""KT5"","
UK,KT6,"""KT6"","
UK,KT7,"""KT7"","
UK,KT8,"""KT8"","
UK,KT9,"""KT9"","
UK,RM1,"""RM1"","
UK,RM10,"""RM10"","
UK,RM11,"""RM11"","
UK,RM12,"""RM12"","
UK,RM13,"""RM13"","
UK,RM14,"""RM14"","
UK,RM15,"""RM15"","
UK,RM16,"""RM16"","
UK,RM17,"""RM17"","
UK,RM18,"""RM18"","
UK,RM19,"""RM19"","
UK,RM2,"""RM2"","
UK,RM20,"""RM20"","
UK,RM3,"""RM3"","
UK,RM4,"""RM4"","
UK,RM5,"""RM5"","
UK,RM6,"""RM6"","
UK,RM50,"""RM50"","
UK,RM7,"""RM7"","
UK,RM8,"""RM8"","
UK,RM9,"""RM9"","
UK,OX1,"""OX1"","
UK,OX10,"""OX10"","
UK,OX11,"""OX11"","
UK,OX12,"""OX12"","
UK,OX13,"""OX13"","
UK,OX14,"""OX14"","
UK,OX15,"""OX15"","
UK,OX16,"""OX16"","
UK,OX17,"""OX17"","
UK,OX18,"""OX18"","
UK,OX2,"""OX2"","
UK,OX20,"""OX20"","
UK,OX25,"""OX25"","
UK,OX26,"""OX26"","
UK,OX27,"""OX27"","
UK,OX28,"""OX28"","
UK,OX29,"""OX29"","
UK,OX3,"""OX3"","
UK,OX33,"""OX33"","
UK,OX39,"""OX39"","
UK,OX4,"""OX4"","
UK,OX44,"""OX44"","
UK,OX49,"""OX49"","
UK,OX5,"""OX5"","
UK,OX7,"""OX7"","
UK,OX9,"""OX9"","
UK,OX6,"""OX6"","
UK,PO1,"""PO1"","
UK,PO10,"""PO10"","
